Name,ERA
Kyle Barraclough,12.91
Brayan Bello,4.24
Brennan Bernardino,3.2
Richard Bleier,5.28
Ryan Brasier,7.29
Kutter Crawford,4.04
Matt Dermody,6.75
Jake Faria,22.5
Justin Garza,7.36
Tanner Houck,5.01
Joe Jacques,5.06
Kenley Jansen,3.63
Zack Kelly,3.86
Corey Kluber,7.04
Dinelson Lamet,13.5
Zack Littell,9
Mauricio Llovera,5.46
Chris Martin,1.05
Chris Murphy,4.91
Kaleb Ort,6.26
James Paxton,4.5
Nick Pivetta,4.04
Pablo Reyes,4.5
Nick Robertson,6
Joely Rodríguez,6.55
Chris Sale,4.3
John Schreiber,3.86
Tayler Scott,4.91
Ryan Sherriff,2.7
Brandon Walter,6.26
Zack Weiss,2.08
Garrett Whitlock,5.15
Josh Winckowski,2.99